Precision,Network Name,Data Format,Input Shape,Kernel Shape,Stride Size,Batch Size,Pass,Invocations,CUDA Time Avg,TC Time Avg,FP32 FLOPs Avg,FP16 FLOPs Avg,TC FLOPs Avg,FLOPs Avg,FP32 FLOPs Fraction Avg,FP16 FLOPs Fraction Avg,TC FLOPs Fraction Avg,Shared Transactions Avg,L1 Atomic Transactions Avg,Local Transactions Avg,Global Transactions Avg,L1 Transactions Avg,L1 Bytes Avg,L2 Transactions Avg,L2 Bytes Avg,DRAM Transactions Avg,DRAM Bytes Avg,Performance GFlop/s,FP32 Performance GFlop/s,FP16 Performance GFlop/s,TC Performance GFlop/s,L1 AI,FP32 L1 AI,FP16 L1 AI,TC L1 AI,L2 AI,FP32 L2 AI,FP16 L2 AI,TC L2 AI,DRAM AI,FP32 DRAM AI,FP16 DRAM AI,TC DRAM AI
FP16,ResNet50-2,NHWC,112x112x64,3x3x64x256,2,16,backward,600.0,0.06864418603964441,0.03624753883151015,2676531200.0,1087938580.0,2607008916394.632,2610773386174.632,0.0010251871013292801,0.0004167112265511768,0.9985581016721196,528944320.0,181440.0,1639228.0,2046727310.0,2577492298.0,82479753536.0,1854210969.0,59334751008.0,655799402.0,20985580864.0,38033.42332104891,38.99137500813558,15.848954482054426,71922.37046804257,31.6535061545147,0.03245076622145546,0.013190371374293046,31.607865016918954,44.00074731623338,0.0451089985974514,0.018335605383316012,43.93730271225261,124.40796388215865,0.12754143987462802,0.051842195222068836,124.22858024706196
FP16,ResNet50-2,NHWC,112x112x64,3x3x64x256,2,16,forward,160.0,0.014040006247030438,0.004737309205350117,513802240.0,559022100.0,373326612745.86926,374399437085.86926,0.0013723371060575563,0.0014931168282493628,0.9971345460656931,52559360.0,0.0,1638316.0,332487924.0,386685600.0,12373939200.0,336768312.0,10776585984.0,199911738.0,6397175616.0,26666.614707885718,36.595584856571755,39.816371172786134,78805.62499999997,30.257093641277084,0.04152293232538269,0.04517737568970761,30.170393333261995,34.74193382224576,0.0476776449204639,0.051873766035920865,34.64238241128938,58.525740039003686,0.08031704471500317,0.08738576733798392,58.3580372269507
FP16,ResNet50-2,NHWC,112x112x64,3x3x64x256,3,16,backward,640.0,0.04036065078490163,0.027025962758115054,3702128640.0,1283194900.0,2457953750535.586,2462939074075.586,0.0015031344782207082,0.0005210014788862048,0.9979758640428931,331894400.0,0.0,1638668.0,1182410729.0,1515943797.0,48510201504.0,1127535202.0,36081126464.0,410646682.0,13140693824.0,61023.2745552492,91.72618795792351,31.793216289763738,90947.87011047512,50.77156964339758,0.07631649684437476,0.026452062869584077,50.66880108368362,68.26114690551547,0.1026056834365691,0.035564158488242036,68.12297706359065,187.4283890229072,0.2817300737376955,0.09765046786619355,187.0490084813033
FP16,ResNet50-2,NHWC,112x112x64,3x3x64x256,3,16,forward,120.0,0.007721831012421714,0.002678912457059117,237240320.0,526909460.0,201236555133.70953,202000704913.70953,0.001174452931247661,0.002608453570620383,0.9962170934981319,27338240.0,0.0,1639476.0,212482132.0,241459848.0,7726715136.0,218697733.0,6998327456.0,122167687.0,3909365984.0,26159.6899218283,30.723324509221147,68.23633658291509,75118.75,26.143154155192804,0.030703904029625664,0.06819320380339178,26.044257047359785,28.864140208318588,0.03389957407560324,0.07529076958927598,28.75494986465371,51.670962949093266,0.06068511389595188,0.13478130780195585,51.47549652739536
FP16,ResNet50-2,NHWC,112x112x64,3x3x64x512,1,16,backward,520.0,0.26016334619917675,0.24368470697687458,9197322240.0,526909460.0,25636900215051.1,25646624446751.1,0.00035861726205317873,2.054498287265826e-05,0.9996208377550742,3468313600.0,0.0,1637492.0,9372510026.0,12842461118.0,410958755776.0,8224939322.0,263198058304.0,1151030862.0,36832987584.0,98578.93058892497,35.35210618393062,2.0253024405544306,105205.20771738054,62.40680867919073,0.02238015886200793,0.0012821468154512344,62.38314637351328,97.44230110211771,0.034944491229402894,0.0020019504072154174,97.4053546604811,696.2949825414603,0.24970340022038437,0.014305368490632183,696.0309737727492
FP16,ResNet50-2,NHWC,112x112x64,3x3x64x512,1,16,forward,120.0,0.04330495882731568,0.0382017779007784,4110417920.0,526909460.0,2796943169005.4907,2801580496385.4907,0.001467178232181131,0.00018807578817735263,0.9983447459796415,513802240.0,0.0,1636560.0,1987487697.0,2502926497.0,80093647904.0,1298581539.0,41554609248.0,243397572.0,7788722304.0,64694.21914375136,94.91795007566782,12.167416255979413,73215.0,34.978810051746635,0.0513201486955212,0.006578667269988152,34.92091123578112,67.41924775818532,0.09891605274083601,0.012679928160444918,67.30765177728404,359.6970577506278,0.5277396933113203,0.06765030764152405,359.10166774967496
FP16,ResNet50-2,NHWC,112x112x64,3x3x64x512,2,16,backward,720.0,0.10025490816709189,0.06544506168640851,4157644800.0,1125949460.0,6612869325041.184,6618152919301.184,0.0006282183036107617,0.00017013046898875373,0.9992016512274005,827954880.0,0.0,1636624.0,2725361700.0,3554953204.0,113758502528.0,2635506246.0,84336199872.0,843328793.0,26986521376.0,66013.25601207378,41.47073570772791,11.230866204808779,101044.58846303647,58.17721552437121,0.036547991645518155,0.009897716961621079,58.130769815764076,78.47345421474748,0.04929846028526544,0.013350725568722481,78.41080502889348,245.23920023226574,0.1540637543487739,0.041722660149942255,245.04341381776703
FP16,ResNet50-2,NHWC,112x112x64,3x3x64x512,2,16,forward,160.0,0.018386125938136415,0.009009350184795886,1027604480.0,591134740.0,736463700012.2743,738082439232.2743,0.0013922624701230878,0.0008009061164154998,0.9978068314134614,100352000.0,0.0,1639872.0,423801390.0,525793262.0,16825384384.0,423941112.0,13566115584.0,273332819.0,8746650208.0,40143.445210573,55.89021218812321,32.15113080313842,81744.37500000001,43.8671962783893,0.06107465104792461,0.03513350580936125,43.770988121532014,54.4063210033958,0.07574787887049747,0.04357435526328477,54.28699876926202,84.3845840041937,0.11748548936598792,0.06758412946013628,84.19951438536758
FP16,ResNet50-2,NHWC,112x112x64,3x3x64x512,3,16,backward,640.0,0.06490784599179546,0.04900596064133148,5697699840.0,1525678100.0,4801168925194.823,4808392303134.823,0.0011849490392631637,0.0003172948469710628,0.9984977561137658,642358400.0,0.0,1638380.0,2124602377.0,2768599157.0,88595173024.0,2017289637.0,64553268384.0,568297517.0,18185520544.0,74080.29383293074,87.78137300566415,23.505295495291126,97971.12151997142,54.27375035242894,0.06431162833731947,0.017220781312619608,54.192217942779,74.48720139980733,0.08826353773610349,0.023634405169454604,74.37530345690178,264.4077353464193,0.3133096919724884,0.08389521192470739,264.0105304425221
FP16,ResNet50-2,NHWC,112x112x64,3x3x64x512,3,16,forward,120.0,0.010050311850629181,0.004945654942382304,474480640.0,526909460.0,377464749339.97327,378466139439.97327,0.0012536937669036972,0.0013922235177489916,0.9973540827153473,54676480.0,0.0,1639596.0,288452577.0,344768653.0,11032596896.0,294246267.0,9415880544.0,131046857.0,4193499424.0,37657.15383411512,47.210539041163784,52.42717517934668,76322.49999999997,34.304356717428035,0.0430071581942805,0.047759332183253914,34.213590227050496,40.194449969009,0.05039153139026909,0.055959658529839564,40.088098779088895,90.2506716166353,0.11314670446464808,0.12564910751732108,90.01187580465333
FP16,ResNet50-2,NHWC,112x112x64,3x3x64x64,1,16,backward,540.0,0.034055993961249115,0.026462341162095438,1849589760.0,559022100.0,1861025735413.4175,1863434347273.4175,0.000992570391710513,0.00029999559727873575,0.9987074340110107,386279680.0,0.0,1639140.0,1351904726.0,1739823546.0,55674353472.0,1336106330.0,42755402560.0,317754806.0,10168153792.0,54716.78052896477,54.310256282772734,16.414793255956287,70327.3275789802,33.470246730580975,0.03322157590802027,0.010040926659007292,33.42698422801394,43.58359963184539,0.04325979055873495,0.013074888003112746,43.52726495328354,183.2618177686801,0.18190025424823944,0.05497773847990202,183.02493977595196
FP16,ResNet50-2,NHWC,112x112x64,3x3x64x64,1,16,forward,140.0,0.010061942185419679,0.005026839872769609,513802240.0,559022100.0,374945702560.04425,376018526900.04425,0.0013664279902266155,0.0014866876496981835,0.9971468843600751,103927040.0,0.0,1637436.0,333129415.0,438693891.0,14038204512.0,336227727.0,10759287264.0,135172193.0,4325510176.0,37370.37243614024,51.063922901935214,55.558071165431116,74588.75000000001,26.785371774475845,0.036600281721269744,0.03982148140968756,26.70895001134489,34.94827470200393,0.04775430076294689,0.05195716837772871,34.84856323286325,86.93044556602247,0.11878419402428426,0.1292384198057658,86.68242295219241
FP16,ResNet50-2,NHWC,112x112x64,3x3x64x64,2,16,backward,580.0,0.05154943679767098,0.020253866925155482,2286755840.0,1051402260.0,1402309521080.412,1405647679180.412,0.0016268342870478993,0.0007479842037039031,0.9976251815092482,263011520.0,22680.0,1639180.0,844892966.0,1109566346.0,35506123072.0,814529643.0,26064948576.0,500755705.0,16024182560.0,27267.95415238988,44.360442752758,20.395998973309883,69236.63151646026,39.588880946816204,0.0644045489101379,0.02961185759053294,39.49486454031553,53.92865729551831,0.08773298874280502,0.04033778378400895,53.8005865229915,87.72039846133731,0.14270655189040732,0.06561347239169248,87.51207843705521
FP16,ResNet50-2,NHWC,112x112x64,3x3x64x64,2,16,forward,140.0,0.011342027555563785,0.00215136042876284,128450560.0,526909460.0,100046327539.07993,100701687559.07993,0.0012755551879370473,0.00523237964300123,0.9934920651690617,24460800.0,0.0,1637612.0,281846683.0,307945095.0,9854243040.0,266956038.0,8542593216.0,152924472.0,4893583104.0,8878.631890616518,11.325184969859212,46.45637276216338,46503.75,10.219119535647248,0.013035050939843676,0.05347031302771684,10.152614171679687,11.788187147957476,0.015036483272949984,0.06168027046086143,11.711470394223666,20.578313562666725,0.02624877462385484,0.10767354897259347,20.444391239070274
FP16,ResNet50-2,NHWC,112x112x64,3x3x64x64,2,32,backward,580.0,0.09568957839052906,0.03488913297504177,4002529280.0,2088222740.0,2581140430014.7754,2587231182034.7754,0.001547031942020789,0.0008071264580066165,0.9976458415999726,508176960.0,22680.0,1638316.0,1639305133.0,2149143089.0,68772578848.0,1582964780.0,50654872960.0,945038869.0,30241243808.0,27037.75296695056,41.828267480339875,21.822885784672692,73981.21449051816,37.62009837893429,0.058199493854175846,0.03036417675444969,37.531534708325665,51.075662238414886,0.07901568094269286,0.041224518352834104,50.95542203911936,85.55306780570814,0.1323533286333009,0.06905214458962111,85.35166233248522
FP16,ResNet50-2,NHWC,112x112x64,3x3x64x64,2,32,forward,140.0,0.021869526340713884,0.003916600173460538,256901120.0,1040711700.0,187800978317.4328,189098591137.4328,0.001358556499309346,0.005503540210109937,0.9931379032905807,48921600.0,0.0,1638384.0,562532758.0,613092742.0,19618967744.0,534784348.0,17113099136.0,301798267.0,9657544544.0,8646.670631608205,11.746990583958574,47.58729950463244,47950.00000000001,9.638559663530929,0.013094527874870846,0.05304620067578618,9.572418934980272,11.049932547847819,0.015011957679808535,0.060813748096083024,10.974106842071928,19.5804006159014,0.026601080515813565,0.10776152211967473,19.446038013265913
FP16,ResNet50-2,NHWC,112x112x64,3x3x64x64,2,64,backward,580.0,0.18552579483466158,0.06479830906191751,7434076160.0,4161863700.0,4978805220541.512,4990401160401.512,0.0014896750623955607,0.0008339737761012282,0.9976763511615032,1005143360.0,22680.0,1638412.0,3228414829.0,4235219281.0,135527016992.0,3122310138.0,99913924416.0,1832475042.0,58639201344.0,26898.69171480386,40.07031025860939,22.432803501577798,76835.41889625628,36.822186979117895,0.054853093685658445,0.030708738319280428,36.73662514711295,49.94700377920857,0.07440480597126384,0.041654491346688895,49.83094448189062,85.10349810403979,0.12677655884821595,0.07097408567324978,84.90574745951832
FP16,ResNet50-2,NHWC,112x112x64,3x3x64x64,2,64,forward,140.0,0.04280912532918995,0.007381509050857199,513802240.0,2068316180.0,363479345993.6789,366061464413.6789,0.001403595543231948,0.005650188236319342,0.9929462162204488,97843200.0,0.0,1638400.0,1126287472.0,1225769072.0,39224610304.0,1070453514.0,34254512448.0,600000072.0,19200002304.0,8551.014803474043,12.00216626826658,48.31484325118159,49241.87500000001,9.332443625994395,0.013098976280909133,0.05273006319170696,9.26661458652178,10.686518016257795,0.014999549060287358,0.0603808383826745,10.611137628814832,19.065698983661896,0.02676053012206972,0.10772478811469209,18.931213665425137
